93;'Нижнесергинский муниципальный район, Дружининское городское поселение';;3591;'ТОСП';'623060, Свердловская область, Нижнесергинский р-н, пгт. Дружинино, ул. Железнодорожников, д. 5а';'56.787612, 59.526009';1;22.12.2014;'муниципальное';'безвозмездное пользование';18,3;'Действующий'
94;'Нижнесергинский муниципальный район, Кленовское сельское поселение';;1250;'ТОСП';'623040, Свердловская область, Нижнесергинский р-н, с. Кленовское, ул. Ленина, д. 76А';'56.820902, 58.622052';1;25.09.2015;'частная';'аренда';10,7;'Действующий'
95;'Нижнетуринский городской округ';24471;19535;'МФЦ';'624222, Свердловская область, г. Нижняя Тура, ул. 40 лет Октября, д. 39';'58.630567, 59.850750';6;28.11.2013;'региональная/частная ';'оперативное управление/аренда';171,3;'Действующий'
96;'Новолялинский городской округ';20804;11753;'МФЦ';'624401, Свердловская область, г. Новая Ляля, ул. Розы Люксембург, д. 28';'59.050282, 60.583272';3;16.12.2013;'региональная';'оперативное управление';98,3;'Действующий'
97;;;8372;'ТОСП';'624420, Свердловская область, п. Лобва, ул. Ханкевича, д. 2';'59.178573, 60.492821';2;16.12.2013;'муниципальная';'безвозмездное пользование';26,6;'Действующий'
98;'Новоуральский городской округ';82176;80723;'МФЦ';'624132, Свердловская область, г. Новоуральск, ул. Фрунзе, д. 7';'57.248399, 60.089522';17;10.06.2013;'региональная';'оперативное управление';377,9;'Действующий'
99;'Полевской городской округ';67473;61332;'МФЦ';'623385, Свердловская область, г. Полевской, ул. Октябрьская, д. 59';'56.495416, 60.232598';8;01.10.2015;'региональная';'оперативное управление';1260,1;'Действующий'
100;;;;'МФЦ';'623391, Свердловская область, г. Полевской, ул. Бажова, д. 2';'56.441190, 60.157560';6;19.11.2014;'региональная';'оперативное управление';115,1;'Действующий'
101;'Пышминский городской округ';18930;9715;'МФЦ';'623550, Свердловская область, пгт. Пышма, ул. Комарова, д. 19';'56.953408, 63.252742';5;29.08.2013;'региональная';'оперативное управление';274,3;'Действующий'
102;'Режевской городской округ';46682;36843;'МФЦ';'623750, Свердловская область, г. Реж, ул. Советская, д. 2';'57.373326, 61.395178';7;22.12.2014;'муниципальная';'безвозмездное пользование';114,7;'Действующий'
103;;;;'ТОСП';'623751, Свердловская область, г. Реж, ул. Калинина, д. 47';'57.345945, 61.349149';3;22.12.2014;'муниципальная';'безвозмездное пользование';51,7;'Действующий'
104;'Североуральский городской округ';39052;25827;'МФЦ';'624480, Свердловская область, г. Североуральск, ул. Ленина, д. 29';'60.150200, 59.955682';8;07.11.2013;'региональная';'оперативное управление';209,9;'Действующий'
105;;;5988;'ТОСП';'624475, Свердловская область, п. Черемухово, ул. Калинина, д. 38';'60.347251, 59.983656';1;02.11.2014;'муниципальное';'безвозмездное пользование';19,5;'Действующий'
106;'Серовский городской округ';103019;96613;'МФЦ';'624992, Свердловская обл, г. Серов, ул. Заславского, д. 15/6';'59.599439, 60.570301';11;29.08.2014;'региональная';'оперативное управление';194,1;'Действующий'
107;;;;'МФЦ';'624983, Свердловская обл,  г. Серов, ул. Мира, д. 11';'59.647115, 60.654769';5;29.08.2014;'региональная';'оперативное управление';146,1;'Действующий'
108;;;;'МФЦ';'624981, Свердловская обл, г. Серов, ул. Ленина, д. 234А';'59.606174, 60.616231';5;05.09.2015;'региональная';'оперативное управление';152,1;'Действующий'
109;'Слободо-Туринский муниципальный район, Слободо-Туринское сельское поселение';12763;5955;'МФЦ';'623930, Свердловская область, с. Туринская Слобода, ул. Октябрьская, д. 10';'57.615656, 64.395542';4;19.12.2014;'муниципальная';'безвозмездное пользование';223,5;'Действующий'
110;'Слободо-Туринский муниципальный район, Сладковское сельское поселение';;808;'ТОСП';'623942, Свердловская область, Слободо-Туринский р-н, с. Сладковское, ул. Ленина, д. 13А';'57.756098, 64.214227';1;25.09.2015;'муниципальная';'безвозмездное пользование';14,1;'Действующий'
111;'Слободо-Туринский муниципальный район, Усть-Ницинское сельское поселение';;720;'ТОСП';'623937, Свердловская область, Слободо-Туринский р-н, с. Краснослободское, ул. Ленина, д. 20';'57.514387, 64.325681';1;25.09.2015;'муниципальная';'безвозмездное пользование';26;'Действующий'
112;'Сосьвинский городской округ';13545;8175;'ТОСП';'624971, Свердловская область, пгт. Сосьва, ул. Митина, д. 142';'59.165227, 61.833026';3;25.09.2015;'муниципальная';'безвозмездное пользование';61,7;'Действующий'
113;'Сысертский городской округ';62753;21091;'МФЦ';'624022, Свердловская область, г. Сысерть, ул. Розы Люксембург, д. 56';'56.504944, 60.819170';8;17.12.2013;'муниципальная';'безвозмездное пользование';132,86;'Действующий'
114;;;7281;'ТОСП';'624006, Свердловская область, п. Большой Исток, ул. Ленина, д. 119А';'56.714008, 60.775143';2;25.09.2015;'муниципальное';'безвозмездное пользование';12;'Действующий'
115;;;5247;'ТОСП';'624019, Свердловская область, п. Бобровский, пер. Советский, д.9';'56.675336, 60.980148';1;05.02.2020;'муниципальная';'безвозмездное пользование';18,8;'Действующий'
116;;;2938;'ТОСП';'624015, Свердловская область, с. Щелкун, ул. Ленина, д. 181';'56.304435, 60.947036';1;25.09.2015;'муниципальная';'безвозмездное пользование';9,7;'Действующий'
117;'Таборинский муниципальный район, Таборинское сельское поселение';2990;1885;'МФЦ';'623990, Свердловская область. с. Таборы ул. Советская, д. 33';'58.515925, 64.551337';2;30.09.2015;'муниципальная';'безвозмездное пользование';70,2;'Действующий'
118;'Таборинский муниципальный район, Кузнецовское сельское поселение';;415;'ТОСП';'623994, Свердловская область, Таборинский р-н, д. Кузнецово, ул. Южная, стр. 14А';'58.461440, 64.779752';1;01.10.2015;'муниципальная';'безвозмездное пользование';14,5;'Действующий'
119;'Тавдинский городской округ';37623;32932;'МФЦ';'623950, Свердловская обл, г. Тавда, ул. Заводская, д. 7А';'58.050155, 65.259488';8;15.12.2014;'региональная';'оперативное управление';215,3;'Действующий'
120;'Талицкий городской округ';42195;15785;'МФЦ';'623640, Свердловская область, г. Талица, ул. Пушкина, д. 1а';'57.011582, 63.726307';9;31.12.2015;'региональная';'оперативное управление';173,6;'Действующий'
121;'Тугулымский городской округ';19078;5576;'МФЦ';'623650, Свердловская область, пгт. Тугулым, ул. Ленина, д. 61';'57.059171, 64.638335';5;31.12.2015;'муниципальная';'безвозмездное пользование';73,95;'Действующий'
122;'Туринский городской округ';24835;17060;'МФЦ';'623900, Свердловская область, г. Туринск, ул. Кирова, д. 46';'58.059369, 63.685694';7;15.05.2014;'муниципальная';'безвозмездное пользование';171,2;'Действующий'
123;'Шалинский городской округ';19258;6410;'МФЦ';'623030, Свердловская обл, пгт. Шаля, ул. Орджоникидзе, д. 26';'57.262698, 58.729311';5;02.09.2015;'региональная';'оперативное управление';97,9;'Действующий'
